date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:33	317848/317848	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:32%20GMT	https://www.cdc.gov/ncezid/what-we-do/2016-highlights.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/2016-highlights.html	(from https://www.cdc.gov/ncezid/)
13:15:33	313526/313526	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:32%20GMT	https://www.cdc.gov/ncezid/what-we-do/2015-highlights.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/2015-highlights.html	(from https://www.cdc.gov/ncezid/)
13:15:34	313815/313815	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:33%20GMT	https://www.cdc.gov/ncezid/what-we-do/2014-highlights.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/2014-highlights.html	(from https://www.cdc.gov/ncezid/)
13:15:34	312490/312490	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:34%20GMT	https://www.cdc.gov/ncezid/what-we-do/2013-highlights.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/2013-highlights.html	(from https://www.cdc.gov/ncezid/)
13:15:34	316829/316829	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:34%20GMT	https://www.cdc.gov/ncezid/what-we-do/our-work-our-stories.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/our-work-our-stories.html	(from https://www.cdc.gov/ncezid/)
13:15:35	225401/225401	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:34%20GMT	https://www.cdc.gov/ncezid/what-we-do/partnership-in-action/expand-ngs-STLT-labs.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/partnership-in-action/expand-ngs-STLT-labs.html	(from https://www.cdc.gov/ncezid/)
13:15:35	223095/223095	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:35%20GMT	https://www.cdc.gov/ncezid/what-we-do/partnership-in-action/yellow-fever-vaccination-during-covid-19.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/partnership-in-action/yellow-fever-vaccination-during-covid-19.html	(from https://www.cdc.gov/ncezid/)
13:15:35	220085/220085	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:35%20GMT	https://www.cdc.gov/ncezid/what-we-do/partnership-in-action/healthcare-costs-associated-with-ar-infections.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/partnership-in-action/healthcare-costs-associated-with-ar-infections.html	(from https://www.cdc.gov/ncezid/)
13:15:36	221763/221763	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:35%20GMT	https://www.cdc.gov/ncezid/what-we-do/partnership-in-action/petsmart-charities-and-cdc-foundation-rsmf-education.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/partnership-in-action/petsmart-charities-and-cdc-foundation-rsmf-education.html	(from https://www.cdc.gov/ncezid/)
13:15:36	223813/223813	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2018:15:35%20GMT	https://www.cdc.gov/ncezid/what-we-do/partnership-in-action/hilton-foundation.html	C:/Users/yle4/data/websites/ncezid/www.cdc.gov/ncezid/what-we-do/partnership-in-action/hilton-foundation.html	(from https://www.cdc.gov/ncezid/)
